Title,URL,Source,Journalist(s),Published Date,Content,Category,Label
Ukraine upbeat and Russia in no rush at truce talks in Saudi Arabia,https://www.bbc.com/news/articles/cly65gm5jp9o,BBC,Frank Gardner,23-03-25,"US negotiators have held talks in the Saudi capital Riyadh with their Ukrainian counterparts and are separately meeting the Russians.

Washington's aim is to bring about an immediate partial ceasefire to the war in Ukraine, followed by a comprehensive peace deal.

So could these Riyadh talks produce the breakthrough so many are hoping for?

It depends who you listen to.

""I feel that he (Putin) wants peace,"" said President Trump's personal envoy Steve Witkoff, adding: ""I think that you're going to see in Saudi Arabia on Monday some real progress.""

Yet Dmitry Peskov, the Kremlin spokesman has dampened expectations. ""We are only at the beginning of this path,"" he told Russian state TV.

Kyiv suffered one of its heaviest attacks from Russian drones on Saturday night, with three people killed, including a five-year-old girl.

""We need to push Putin to give a real order to stop the strikes,"" said Ukraine's President Volodymyr Zelensky in his evening address on Sunday. ""The one who brought this war must take it away.""

The Kremlin, meanwhile, seems to be in no rush to sign up to a ceasefire, with Vladimir Putin adding on numerous ""nuances"", or preconditions,  before agreeing to the 30-day ceasefire proposed by Washington and agreed to by Kyiv.

In Riyadh the US-Ukraine talks began soon after nightfall on Sunday, behind closed doors in one of Saudi Arabia's many luxury establishments, with the Ukrainian delegation headed by the country's defence minister, Rustem Umerov.

These, he said, were ""technical"" discussions, focusing on how best to safeguard energy facilities and critical infrastructure.

After the meeting, Umerov described the talks as ""productive"" in a post on X and said they were working to make Zelensky's goal of securing ""a just and lasting peace"" a reality.

Black Sea shipping lanes are also under discussion, with Russia reportedly keen to revive a deal that allowed Ukraine to export grain from its ports without being attacked, in exchange for relief on sanctions.

Both sides, Russia and Ukraine, have carried out hugely destructive attacks on each other's infrastructure - with a marked distinction.

Moscow has sought to plunge Ukraine's population into cold and darkness by targeting its electricity generation, while Kyiv has become increasingly successful in its long-range drone strikes that have struck Russian oil facilities critical to its war effort.

President Trump wants a quick end to this war, Europe's worst since 1945 and one which has led to combined casualties on both sides of hundreds of thousands of killed, captured, wounded or missing men.

Ukraine's leadership, still bruised from that catastrophic row in the Oval Office last month, is trying hard to convince Washington it is not the obstacle to peace.

When the Americans proposed a comprehensive 30-day ceasefire on land, sea and in the air at talks in Jeddah this month, Ukraine quickly agreed to the terms.

The ball, said the US Secretary of State Marco Rubio at the time, was now in Russia's court.

But despite the US failure to get Moscow to agree to that ceasefire, the Trump administration is putting little or no pressure, at least not in public, on Russia to fall into line. In fact, quite the opposite.

In an interview this weekend with the pro-Trump journalist Tucker Carlson, Steve Witkoff, the man spearheading the US drive for a ceasefire, appeared to take a stance totally at odds with that of Europe.

Ukraine, he suggested, was ""a false country"", Russia had been provoked and Putin was a man of his word who could be trusted.

Witkoff, a former New York real estate developer and golfing partner of Donald Trump, alsodismissed Prime Minister Sir Keir Starmer's effortsto put together a military force to help safeguard an eventual peace deal in Ukraine, calling it ""a posture and a pose"".

",Politics,1
Watch: Who could be Canada's next PM and how will they be chosen?,https://www.bbc.com/news/videos/cr429edgqkzo,BBC,,24-03-25,"Canada's new Prime Minister Mark Carney has called for a national election on 28 April.

The main contenders of the election are Carney, leader of the Liberal party, and Pierre Poilievre, leader of the Conservative party.

With Canada's businesses reeling from a trade dispute with the US, Carney - a former two-time central banker - is expected to pitch himself as the candidate best equipped to take on Donald Trump.

The BBC's Nadine Yousif explains the Canadian election process.

Are you a Canadian voter? As Canada gears up for an election this year, BBC wants to hear from voters across the country.

Fill out the form here if you would like to be part of our coverage. We may contact your for future stories.",Politics,1
Tate brothers report to Romanian police after return from US,https://www.bbc.com/news/articles/c62xky7rn75o,BBC,"Will Vernon, Rachel Hagan",24-03-25,"British-American influencer Andrew Tate and his brother Tristan have appeared at a police station after returning to Romania from the US.

The brothers registered with the authorities in the capital, Bucharest, in a legal formality to demonstrate their compliance with an ongoing criminal investigation.

They are under investigation in Romania for forming an organised criminal group, human trafficking, trafficking of minors and money laundering. Andrew also faces allegations of rape and sex with a minor. The pair deny all accusations.

After leaving the police station, Andrew, 38, refused to say whether he would remain in Romania, but vowed to clear his name both there and in the UK.

The brothers returned to Romania on Friday nearly a month after they unexpectedly had their travel ban lifted by the authorities.

Soon after, the pair announced they flew on a private jet to Florida - where they quickly became the focus of a new investigation.

Florida's state attorney-general launched a criminal inquiry into the brothers, welcomed by the US National Centre on Sexual Exploitation, which represents one of Tate's alleged victims.

The brothers' exit from Romania led to speculation that prosecutors felt political pressure from President Donald Trump - whom they support. Trump has denied any knowledge of their release and the Tates have dismissed claims of outside influence.

Replying to a question about the US charges today, Andrew denied them and said: ""I am investigated everywhere on the planet, because I am one of the most important people on the planet.""

He also said there was a ""witch hunt"" against him.

The pair were arrested in Romania in late 2022 amid accusations of misleading women and transporting them to Romania where they were later sexually exploited and subjected to physical violence.

The pair are also the subjects of a separate investigation in the UK into allegations of rape and human trafficking, which they deny.

British authorities have secured a warrant over allegations of sexual aggression dating back to 2012, meaning the brothers could face extradition once Romanian proceedings conclude.

Last month, Romanian authorities warned the Tates they must return for a court appearance or risk ""a higher custodial measure"".

Andrew, who has been banned from several social media platforms for his misogynistic views and hate speech, later told his 10 million followers on X that he had spent $185,000 (£142,800) on a private jet to ""sign one single piece of paper in Romania"".

The BBC asked Andrew on Monday about his inflammatory tweets in the aftermath of the Southport attack in the UK last year in which three girls at a summer holiday dance and yoga class were stabbed to death and he falsely claimed the attacker was an illegal immigrant. Tate called the BBC correspondent ""a nobody"" before being driven away.

",Crime,1
'I scarred my six children by using skin-lightening creams',https://www.bbc.com/news/articles/cj92g4n3v78o,BBC,Madina Maishanu,24-03-25,"A mother in northern Nigeria is visibly upset as she clutches her two-year-old child, who has burns and discoloured skin on his face and legs.

The 32-year-old used skin-whitening products on all six of her children, under pressure from her family, with results that she now deeply regrets.

Fatima, whose name has been changed to protect her family's identity, says one of her daughters covers her face whenever she goes out in order to hide her burns.

Another was left with darker skin than before - with a pale circle around her eyes, while a third has whitish scars on her lips and knees.

Her toddler still has weeping wounds - his skin is taking a long time to heal.

""My sister gave birth to light-skinned children but my children are darker skinned. I noticed that my mother favours my sister's children over mine due to their skin tone and it hurt my feelings a lot,"" Fatima says.

She says she used creams she bought at her local supermarket in the city of Kano, without a doctor's prescription.

At first it seemed to work. The grandmother warmed towards Fatima's children, who were aged between two and 16 at the time.

But then the burns and scars appeared.

Skin-whitening or lightening, also known as bleaching in Nigeria, is used in different parts of the world for cosmetic reasons, though these often have deep cultural roots.

Women in Nigeria use skin-whitening products more than in any other African country - 77% use them regularly, according to the UN World Health Organization (WHO).

In Congo-Brazzaville the figure is 66%, in Senegal 50% and in Ghana 39%.

The creams may contain corticosteroids or hydroquinone, which can be harmful if used in high quantities, and in many countries are only obtainable with a doctor's prescription.

Other ingredients sometimes used are the poisonous metal, mercury, and kojic acid - a by-product from the manufacture of the Japanese alcoholic drink, sake.

Dermatitis, acne and skin discolouration are possible consequences, but also inflammatory disorders, mercury poisoning and kidney damage.

The skin may become thinner, with the result that wounds take longer to heal, and are more likely to become infected, the WHO says.

The situation is so bad that Nigeria's National Agency for Food and Drug Administration and Control (Nafdac) declared a state of emergency in 2023.

It is also becoming more common for women to bleach their children, like Fatima did.

""A lot of people link light skin to beauty or wealth. Women tend to shield, as they call it, their children from that discrimination by bleaching them from childbirth,"" Zainab Bashir Yau, the owner of a dermatology spa in the capital, Abuja, tells the BBC.

She estimates that 80% of the women she has met have bleached their children, or plan to do so.

Some were bleached themselves as babies, she says, so are just continuing the practice.

One of the most common ways to tell whether someone is using skin-whitening products in Nigeria is by the darkness of their knuckles. Other parts of people's hands or feet get lighter, but knuckles tend to remain dark.

However, smokers and drug users also sometimes have dark patches on their hands, due to the smoke.

So users of skin-lightening products are sometimes mistakenly assumed to belong to this group.

Fatima says that is what happened to her daughters, aged 16 and 14.

""They faced discrimination from society - they all point fingers at them and call them drug addicts. This has affected them a lot,"" she says.

They have both lost potential fiancés because men do not want to be associated with women who might be thought to take drugs.

I visited a popular market in Kano, where people who call themselves ""mixologists"" create skin-whitening creams from scratch.

The market has a whole row of shops where thousands of these creams are sold.

Some pre-mixed varieties are arranged on shelves, but customers can also select raw ingredients and ask for the cream to be mixed in front of them.

I noticed that many bleaching creams, with labels saying they were for babies, contained regulated substances.

Other sellers admitted using regulated ingredients such as kojic acid, hydroquinone and a powerful antioxidant, glutathione, which may cause rashes and other side-effects.

I also witnessed teenage girls buying bleaching creams for themselves and in bulk so that they could sell them to their peers.

One woman, who had discoloured hands, insisted that a seller add a lightening agent to a cream that was being mixed for her children, even though it was a regulated substance for adults and illegal to use on children.

""Even though my hands are discoloured, I am here to buy creams for my kids so they can be light-skinned. I believe my hands are this way just because I used the wrong one. Nothing will happen to my children,"" she said.

One seller said most of his customers were buying creams to make their babies ""glow"", or to look ""radiant and shiny"".

Most seemed to be unaware of the approved dosages.

One salesman said he used ""a lot of kojic"" - well over the prescribed limit - if someone wanted light skin and a smaller quantity if they wanted a subtler change.

The approved dosage of kojic acid in creams in Nigeria is 1%, according to Nafdac.

I even saw salesmen giving women injections.

Dr Leonard Omokpariola, a director at Nafdac, says attempts are being made to educate people about the risks.

He also says markets are being raided, and there are efforts to seize skin-lightening ingredients at Nigeria's borders as they are brought into the country.

But he says it was sometimes hard for law-enforcement officials to identify these substances.

""Some of them are just being transported in unlabelled containers, so if you do not take them to the labs for evaluation, you can't tell what is inside.""

Fatima says her actions will haunt her forever, especially if her children's scars do not fade.

""When I confided in my mum about what I did, due to her behaviour, and when she heard the dangers of the cream and what stigma her grandchildren are facing, she was sad that they had to go through that and apologised,"" she says.

Fatima is determined to help other parents avoid making the same mistake.

""Even though I have stopped... the side-effects are still here, I beg other parents to use my situation as an example.""

Go toBBCAfrica.comfor more news from the African continent.



Follow us on Twitter@BBCAfrica, on Facebook atBBC Africaor on Instagram atbbcafrica

",Human Interest,1
Ukraine upbeat and Russia in no rush at truce talks in Saudi Arabia,https://www.bbc.com/news/articles/cly65gm5jp9o,BBC,Frank Gardner,23-03-25,"US negotiators have held talks in the Saudi capital Riyadh with their Ukrainian counterparts and are separately meeting the Russians.

Washington's aim is to bring about an immediate partial ceasefire to the war in Ukraine, followed by a comprehensive peace deal.

So could these Riyadh talks produce the breakthrough so many are hoping for?

It depends who you listen to.

""I feel that he (Putin) wants peace,"" said President Trump's personal envoy Steve Witkoff, adding: ""I think that you're going to see in Saudi Arabia on Monday some real progress.""

Yet Dmitry Peskov, the Kremlin spokesman has dampened expectations. ""We are only at the beginning of this path,"" he told Russian state TV.

Kyiv suffered one of its heaviest attacks from Russian drones on Saturday night, with three people killed, including a five-year-old girl.

""We need to push Putin to give a real order to stop the strikes,"" said Ukraine's President Volodymyr Zelensky in his evening address on Sunday. ""The one who brought this war must take it away.""

The Kremlin, meanwhile, seems to be in no rush to sign up to a ceasefire, with Vladimir Putin adding on numerous ""nuances"", or preconditions,  before agreeing to the 30-day ceasefire proposed by Washington and agreed to by Kyiv.

In Riyadh the US-Ukraine talks began soon after nightfall on Sunday, behind closed doors in one of Saudi Arabia's many luxury establishments, with the Ukrainian delegation headed by the country's defence minister, Rustem Umerov.

These, he said, were ""technical"" discussions, focusing on how best to safeguard energy facilities and critical infrastructure.

After the meeting, Umerov described the talks as ""productive"" in a post on X and said they were working to make Zelensky's goal of securing ""a just and lasting peace"" a reality.

Black Sea shipping lanes are also under discussion, with Russia reportedly keen to revive a deal that allowed Ukraine to export grain from its ports without being attacked, in exchange for relief on sanctions.

Both sides, Russia and Ukraine, have carried out hugely destructive attacks on each other's infrastructure - with a marked distinction.

Moscow has sought to plunge Ukraine's population into cold and darkness by targeting its electricity generation, while Kyiv has become increasingly successful in its long-range drone strikes that have struck Russian oil facilities critical to its war effort.

President Trump wants a quick end to this war, Europe's worst since 1945 and one which has led to combined casualties on both sides of hundreds of thousands of killed, captured, wounded or missing men.

Ukraine's leadership, still bruised from that catastrophic row in the Oval Office last month, is trying hard to convince Washington it is not the obstacle to peace.

When the Americans proposed a comprehensive 30-day ceasefire on land, sea and in the air at talks in Jeddah this month, Ukraine quickly agreed to the terms.

The ball, said the US Secretary of State Marco Rubio at the time, was now in Russia's court.

But despite the US failure to get Moscow to agree to that ceasefire, the Trump administration is putting little or no pressure, at least not in public, on Russia to fall into line. In fact, quite the opposite.

In an interview this weekend with the pro-Trump journalist Tucker Carlson, Steve Witkoff, the man spearheading the US drive for a ceasefire, appeared to take a stance totally at odds with that of Europe.

Ukraine, he suggested, was ""a false country"", Russia had been provoked and Putin was a man of his word who could be trusted.

Witkoff, a former New York real estate developer and golfing partner of Donald Trump, alsodismissed Prime Minister Sir Keir Starmer's effortsto put together a military force to help safeguard an eventual peace deal in Ukraine, calling it ""a posture and a pose"".

",Politics,1
"Turkey says 1,133 people arrested in five days as it issues 'clear warning' to protesters",https://www.bbc.com/news/live/cq6yde479gdt,BBC,"Jamie Whitehead, Jack Burgess",23-03-25,"Demonstrations in support of Istanbul's mayor have also taken place in the Turkish capital.

Protesters lit flares and fireworks on the streets of Ankara last night, while police used water canons against them.

",Politics,1
Israel kills Hamas official being treated at Gaza hospital,https://www.bbc.com/news/articles/cp3y046q91no,BBC,Rushdi Abu Alouf,23-03-25,"An Israeli air strike on a hospital in Gaza killed a senior Hamas leader and an aide on Sunday evening, a Hamas official told the BBC.

Ismail Barhoum, the head of the group's financial affairs, was killed in the strike on Nasser Hospital, the main medical facility in Khan Younis.

He was receiving treatment at the hospital after being wounded in an air strike four days ago, the official said.

Israel's military said it had struck a key Hamas member operating inside the hospital compound following ""an extensive intelligence-gathering process"" and said that ""precise munitions"" had been used to mitigate harm.

The Hamas-run health ministry said ""many others"", including medical personnel, were injured.

The health ministry said on Monday morning that at least 61 people had been killed in Gaza by Israel over the preceding 24 hours.

It said 730 had been killed since Israel resumed bombing on 18 March.

Meanwhile a 75-year-old man was killed and a 20-year-old soldier was injured in what Israeli police said was a terror attack at a junction near the northern city of Haifa on Monday morning.

They said the assailant rammed his vehicle into a bus stop, then stabbed and opened fire at people before being shot dead by officers.

In Gaza, the department in Nasser Hospital that was hit was evacuated after a large portion was destroyed, the health ministry said.

Footage verified by the BBC showed people attempting to extinguish a fire after the strike.

Israel has repeatedly accused Hamas of using hospitals as hiding places for weapons and command centres, which the group denies.

Another Hamas leader, Salah al-Bardaweel, was killed by a separate Israeli air strike in Khan Younis on Sunday, an official told the BBC.

Israel resumed its military campaign in Gaza last Tuesday, ending a ceasefire that lasted almost two months.

Israel blamed Hamas for rejecting a new US proposal to extend the truce. Hamas, in turn, accused Israel of abandoning the original deal agreed in January.

The war was triggered by Hamas's attack on Israel on 7 October 2023, in which about 1,200 people, mainly civilians, were killed and 251 others taken hostage.

Israel responded to the 7 October attack with a military offensive in Gaza to destroy Hamas, which has killed more than 50,000 people, the Hamas-run health ministry said.

Additional reporting by Raffi Berg

",Politics,1
Greenland condemns planned visits by Usha Vance and Trump adviser,https://www.bbc.com/news/articles/c4g0718g3jwo,BBC,James FitzGerald,24-03-25,"Greenland's politicians have condemned plans for high-profile US visits, in the wake of President Donald Trump's threats to take over the island.

Second Lady Usha Vance will make a cultural visit this week, and a separate trip is expected from Trump's National Security Adviser Mike Waltz.

Outgoing Greenlandic Prime Minister Mute Egede described the plan as aggressive, and said the duo had not been invited for meetings. Meanwhile, the island's likely next leader accused the US of showing a lack of respect.

Greenland - the world's biggest island, situated between the Arctic and Atlantic Oceans - has been controlled by Denmark, nearly 3,000km (1,860 miles) away, for about 300 years.

It governs its own domestic affairs, but decisions on foreign and defence policy are made in Copenhagen. The US has long held a security interest - and has had a military base on the island since World War Two.

It is also thought Trump is interested in the island's rare earth minerals. His son Donald Jr visited Greenland before Trump's inauguration in January.

Announcing Mrs Vance's visit, the White House said the second lady would visit historical sites and attend the Avannaata Qimussersu, Greenland's national dogsled race.

Her delegation - including her son - would be there to ""celebrate Greenlandic culture and unity"", the statement said.

Waltz's trip was confirmed by a source who spoke to the BBC's US partner, CBS News. He is expected to visit before Mrs Vance and to travel with Energy Secretary Chris Wright, according to the New York Times.

Outgoing PM Egede described Waltz's visit in particular as a provocation. ""What is the security advisor doing in Greenland? The only purpose is to show a demonstration of power to us,"" he told Sermitsiaq newspaper.

Speaking to the same paper, Greenland's probable next PM Jens-Frederik Nielsen accused the American officials of showing the local population a lack of respect.

Trump appeared to escalate his campaign to take over the island during a conversation with Nato Secretary-General Mark Rutte earlier this month.

Greenland was already on the defensive about Trump's talk of a takeover, but he sent further shockwaves by implying he might ask to take the island with support of Nato, a military alliance of which Denmark is also a part.

""You know, Mark, we need that for international security... we have a lot of our favourite players cruising around the coast, and we have to be careful,"" Trump said. ""We'll be talking to you.""

When asked about the prospect of annexation, Trump said: ""I think that will happen.""

The move prompted Greenland's leading political parties to issue a joint statement to condemn the American president's ""unacceptable behaviour"".

The issue took centre-stage in the recent election, during which Egede's governing Inuit Ataqatigiit party was defeated in a surprise result by Nielsen's Democratic party, which favours a gradual approach to independence from Denmark.

Earlier this month, during a speech to the US Congress, Trump said he strongly supported the people of Greenland's right to determine their own future. ""If you choose, we welcome you into the United States of America,"" he said.

According to recent polls, almost 80% of Greenlanders back independence from Denmark. But an opinion survey in January suggested an even greater number rejected the idea of becoming part of the US.

",Politics,1
Watch: Who could be Canada's next PM and how will they be chosen?,https://www.bbc.com/news/videos/cr429edgqkzo,BBC,,24-03-25,"Canada's new Prime Minister Mark Carney has called for a national election on 28 April.

The main contenders of the election are Carney, leader of the Liberal party, and Pierre Poilievre, leader of the Conservative party.

With Canada's businesses reeling from a trade dispute with the US, Carney - a former two-time central banker - is expected to pitch himself as the candidate best equipped to take on Donald Trump.

The BBC's Nadine Yousif explains the Canadian election process.

Are you a Canadian voter? As Canada gears up for an election this year, BBC wants to hear from voters across the country.

Fill out the form here if you would like to be part of our coverage. We may contact your for future stories.",Politics,1
Tiger Woods confirms relationship with Trump's ex daughter-in-law,https://www.bbc.com/news/articles/cm2n7d03x8xo,BBC,Frances Mao,24-03-25,"Golfer Tiger Woods has announced he is dating Vanessa Trump, the former daughter-in-law of US President Donald Trump.

Vanessa, 47, was married to Donald Trump Jr for 13 years. The pair, who have five children, divorced in 2018.

On Sunday, Woods, 49, posted pictures of Vanessa and himself on social media saying: ""Love is in the air and life is better with you by my side! We look forward to our journey through life together.""

""At this time we would appreciate privacy for all those close to our hearts.""

It is unclear what prompted the public announcement, but rumours of their relationship had been reported in gossip magazines in recent weeks.

Woods, who has won 15 major championships, is known for being guarded about his personal life after exposure of his marital infidelities and sex scandals damaged his public standing in the 2000s and affected his playing career.

He admitted himself into a sex addiction rehab clinic, and went through an acrimonious split from his first wife Elin Nordegren months later after six years of marriage. The couple have two children together.

US media outlets report that Tiger Woods' children attend the same school as Vanessa Trump's.

As the former wife of Donald Trump's eldest son, Vanessa had been a regular attendee at official events involving Trump's extended family during his first term in office.

Woods, the former world number one, is also known to have played golf with President Trump on several occasions, including last month. Trump loves golf and owns more than a dozen courses.

In February,Woods attended a meeting with Trumpand Professional Golfers' Association (PGA) heads at the White House about the future of the sport's tournaments and current division with the Saudi Arabia- LIV league.

Woods wore his Presidential Medal of Freedom, which was bestowed on him by Trump in 2019 during the president's first term.

Woods has previously announced relationships with World Cup champion ski racer Lindsey Vonn and Erica Herman, his former restaurant manager.

That relationship ended badly - Herman filed law suits against Woods and his trust in 2023, which she later withdrew.

",Entertainment,1
