Title,URL,Source,Journalist(s),Published Date,Content,Category,Label
CNBC Hosts Sit In Stunned Silence For 19th Consecutive Hour,https://theonion.com/cnbc-hosts-sit-in-stunned-silence-for-19th-consecutive-hour/,The Onion,,3-04-25,,Entertainment,0
Trump Informs Nation They Better Start Liking Those Little Canned Wieners,https://theonion.com/trump-informs-nation-they-better-start-liking-those-little-canned-wieners/,The Onion,,3-04-25,"WASHINGTON—Saying that Americans should anticipate certain lifestyle changes as a result of his newly announced tariffs, President Donald Trump informed the nation Thursday that they better start liking those little canned wieners. “Hope you aren’t too attached to whatever fancy crap you eat now, because those little wiener dogs in the cans are coming back on the menu in a big way,” said Trump, adding that if Americans didn’t already have a good, long fork for fishing wieners out of the can, they were “sure as hell” going to need one soon. “You’re gonna eat ’em cold, and you’re gonna like ’em cold. Every meal. Don’t even think about trying to gussy them up with pickle relish. The only way you make it through these next few years is filling every shelf in your pantry with little canned wieners and knocking back the leftover hot dog water with a smile on your face. Buckle up, America. You live in ‘the wiener times’ now.” At press time, millions of Americans reportedly realized they could no longer afford the canned wieners.

",Politics,0
Israel Claims Slain Palestinian Rescue Workers Didn’t Properly Identify Selves As Human Beings,https://theonion.com/israel-claims-slain-palestinian-rescue-workers-didnt-properly-identify-selves-as-human-beings/,The Onion,,3-04-25,"RAFAH, GAZA—Responding to reports that 15 rescue workers in Gaza were killed execution style and buried in a mass grave, Israel claimed this week that the slain Palestinians did not properly identify themselves as human. “Unfortunately, upon their encounter with IDF soldiers, these Palestinians provided no documentation indicating they were sentient beings entitled to basic rights,” said Israeli Prime Minister Benjamin Netanyahu, who stated that even after reviewing the situation, his government couldn’t find any credentials to support assertions that the team of Palestinian paramedics and emergency responders possessed a shared humanity. “This group was given ample opportunity to communicate to our forces that they were people endowed with inherent dignity who should not be gunned down on sight, but they failed to do so. How else were we to know they weren’t subhuman scum that needed to be wiped off the face of the earth?” Israeli officials went on to clarify that when it came to Palestinians identifying themselves as conscious beings deserving of respect, crying and begging for one’s life did not count as sufficient verification.

",Politics,0
Man Already Having Bad Day Deported To Salvadoran Mega-Prison,https://theonion.com/man-already-having-bad-day-deported-to-salvadoran-mega-prison/,The Onion,,3-04-25,"TECOLUCA, EL SALVADOR—Saying things had only gone downhill after a terrible morning, lawful U.S. resident Oscar Fernandez-Lopez, 38, stated Wednesday that he had already been having a bad day before being deported to the Salvadoran mega-prison known as CECOT. “I knew things were heading in the wrong direction when I spilled coffee on my shirt, and that was without getting sent to one of the most hellish prisons in Central America,” said the husband and father of three, who described his rendition to a penitentiary that can hold up to 40,000 people as “just the cherry on top” of an awful day that had begun with him missing his bus to work and ended with him being shoved into a cramped cell to be sadistically tortured by Barrio 18 gang members. “Maybe it was my mistake for thinking everything might turn around after I stepped in a puddle and got my shoe soaking wet. Now my right to a trial has been suspended for no clear reason, I’ve been falsely labeled as part of the MS-13 gang, I’m separated from my family despite my status as a legal immigrant to the United States, and they’re apparently going to starve me? Jesus Christ, there are days and then there are days.” At press time, when Fernandez-Lopez was overheard telling himself that things would surely start to improve now, several baton-wielding guards in body armor had reportedly entered his cell.

",Crime,0
SeaWorld Visitors Delighted By Live Garbage-Patch Feeding,https://theonion.com/seaworld-visitors-delighted-by-live-garbage-patch-feeding/,The Onion,,2-04-25,"SAN DIEGO—With the spellbound audience in the Marine Trash Experience amphitheater shouting and squealing with excitement, SeaWorld visitors were reportedly delighted Wednesday by a live garbage-patch feeding. “The keepers threw a bunch of plastic bags into the middle of the habitat, and all of a sudden this enormous blob of debris floated up and swallowed it!” said SeaWorld guest Trinity Morrow, adding that her family would visit the gift shop next in order to purchase plush stuffed garbage patches for both of her children. “We learned that in the wild, the patch’s diet primarily consists of fishing line, styrofoam, and tons of microplastic, but they get extra treats here at the park like cling wrap and action figures. It was amazing to see it ripple through the water, leaving a shiny trail of oil in its wake. We were sitting pretty far back, but the patch still managed to splash us!” At press time, reports confirmed the exhibit had been closed after the patch pulled a trainer into the water and drowned him before partially consuming his body.

",Environment,0
DEA Classifies Red Wine As Schedule I Drug To Spite Ex-Wife,https://theonion.com/dea-classifies-red-wine-as-schedule-i-drug-to-spite-ex-wife/,The Onion,,2-04-25,"SPRINGFIELD, VA—In a decision meant to crack down on the allegedly dangerous substance and the “total fucking bitch” who uses it, the acting head of the U.S. Drug Enforcement Administration, Derek Maltz, classified red wine as a Schedule I drug Wednesday in order to spite his ex-wife. “We have been far too lenient to the cold, vicious harpies who use this substance—if you run to the liquor store down the street for a bottle of Yellow Tail malbec, bring it home, and pour yourself a glass, that will now be classified as drug-trafficking,” said Maltz, explaining that substances newly classified as Schedule I include pinot noir, merlot, shiraz, and any beverage enjoyed during a tasting tour of the Loudoun County wineries outside of D.C. “This drug has caused irreparable damage to society and needs to be taken off the street. Otherwise, the country will continue to be overrun by passive-aggressive scolds who don’t even need all that goddamn child support.” At press time, Maltz added that mixing up a pitcher of margaritas for the girls should be made a Class B felony punishable by up to 25 years in a federal penitentiary.

",Human Interest,0
Washington Monument Collapses After Someone Pulls Loose Block,https://theonion.com/washington-monument-collapses-after-someone-pulls-loose-block/,The Onion,,2-04-25,,World News,0
Attorney General Seeks Death Penalty For All UnitedHealthcare Customers,https://theonion.com/attorney-general-seeks-death-penalty-for-all-unitedhealthcare-customers/,The Onion,,1-04-25,,Politics,0
College Campus Tour Ends Inside Unmarked ICE Vehicle,https://theonion.com/college-campus-tour-ends-inside-unmarked-ice-vehicle/,The Onion,,1-04-25,"ITHACA, NY—As nearly a dozen prospective students were forced into the back of a car with tinted windows, a Cornell University campus tour reportedly ended Tuesday inside an unmarked Immigration and Customs Enforcement vehicle. “Over there you can see our student center, which boasts its own bowling alley, and then, if you all will follow me, it seems these masked gentlemen want us to wrap things up in their black SUV,” said tour guide and Cornell junior Jacob Geisner, who was preparing to describe the college’s housing options and meal plans when three ICE officers in street clothes rushed up and, without identifying themselves, demanded the group of 16- and 17-year-olds come with them immediately. “This isn’t a scheduled part of the tour, but I can tell you we’re currently leaving the campus at about 100 miles per hour. Out that window, you’ll see the last glimpse of our largest dining hall, named after Toni Morrison. At this point I need to depart from my prepared script because I don’t know where they’re taking us, but this highway does go to the nearest major airport, in Syracuse, and it sounds like we all need to bind our wrists with these heavy-duty zip ties or they’ll treat us as if we’re resisting arrest.” At press time, the Department of Homeland Security issued a short statement saying the tour group was now in a detention facility in Jena, LA.

",Crime,0
COBRA Extension Lets Terminated Employees Continue Raiding Office Fridge For 18 Months,https://theonion.com/cobra-extension-lets-terminated-employees-continue-raiding-office-fridge-for-18-months/,The Onion,,1-04-25,"MANCHESTER, NH—Saying the option offered an extra safety net to anyone faced with a job loss, administrators at Brentwell Solutions confirmed Wednesday that an extension of benefits through COBRA would allow terminated employees to continue raiding the office fridge for 18 months. “As part of our standard severance offerings, peckish beneficiaries have a period of one and a half years during which they can still pilfer a few bites from Tupperware containers in the fridge to meet their lunchtime needs,” said HR representative Taylor Malmquist, adding that eligible individuals could also polish off somebody’s half-eaten BLT and then act like they hadn’t noticed the name written on it when confronted by their former coworker. “While you’re searching for your next job, you can rest easy knowing you’ll be able to access the same tub of Philadelphia Cream Cheese you swiped the occasional scoop from as an employee. If you have dependents, feel free to snag them a couple seltzers from the mini fridge as well. And even after your 18 months are over, you can apply to continue going to town on the oranges and trail mix packets in the snack rack indefinitely. We usually just end up throwing them out, regardless.” Malmquist later clarified that COBRA did not allow former employees to keep using office paper towels, given how hard it was to find a roll already.

",Economy,0
