title,link
Pope Francis to be discharged from hospital on Sunday,https://www.bbc.com/news/articles/crrdv84rg4do
Heavyweight boxing legend George Foreman dies aged 76,https://www.bbc.com/news/articles/ckg8ez8201yo
Three killed and 15 injured in New Mexico mass shooting,https://www.bbc.com/news/articles/cn0jn4jzj11o
At least two dead as wildfires rage in South Korea,https://www.bbc.com/news/articles/cdx2801qegvo
Pope Francis to be discharged from hospital on Sunday,https://www.bbc.com/news/articles/crrdv84rg4do
Protesters in Turkey rally 'for justice' after mayor's arrest,https://www.bbc.com/news/articles/c0egjvj8vdro
Hillary Clinton and Kamala Harris lose security clearance after Trump order,https://www.bbc.com/news/articles/c74kg3e2m08o
Facebook to stop targeting ads at UK woman after legal fight,https://www.bbc.com/news/articles/c1en1yjv4dpo
Heavyweight boxing legend George Foreman dies aged 76,https://www.bbc.com/news/articles/ckg8ez8201yo
Watch: Moment police chase ends in four car pile-up in Paris,https://www.bbc.com/news/videos/c89ynj20p9po
Columbia University agrees to Trump administration's demand for mask ban,https://www.bbc.com/news/articles/c9q499x3v4yo
Investigation ordered into power outage that closed Heathrow,https://www.bbc.com/news/articles/cgm1krkxrxgo
Venezuela to resume repatriation of migrants after deal with US,https://www.bbc.com/news/articles/c17q170zwjeo
"Canada can win trade war with US, foreign affairs minister Mélanie Joly says",https://www.bbc.com/news/articles/cg70mknye9lo
Five key moments in the battle for Khartoum,https://www.bbc.com/news/articles/ckgy341v680o
Extreme day trips: 'I go abroad then fly home in time for bed',https://www.bbc.com/news/articles/cn7v5lr2186o
Honest or unrealistic? Roblox boss' online safety advice sparks debate,https://www.bbc.com/news/articles/clynwgdrr48o
Why earthquake predictions are usually wrong,https://www.bbc.com/news/articles/c247jq391npo
Five key moments in the battle for Khartoum,https://www.bbc.com/news/articles/ckgy341v680o
Football academies: When chasing a dream becomes a nightmare,https://www.bbc.com/news/articles/c0egr1nj9qpo
Why Trump is struggling to secure fast ceasefire in Ukraine,https://www.bbc.com/news/articles/c89yngk2z7qo
Extreme day trips: 'I go abroad then fly home in time for bed',https://www.bbc.com/news/articles/cn7v5lr2186o
Heathrow airport closure: What we know so far,https://www.bbc.com/news/articles/c1jp1dg7g45o
Judge in deportations case says government lawyers 'disrespectful',https://www.bbc.com/news/articles/c99n84xdl4zo
US to import millions of eggs from Turkey and South Korea to ease prices,https://www.bbc.com/news/articles/c743g135vj9o
Israel orders army to 'seize additional territories' in Gaza,https://www.bbc.com/news/articles/clyj5vq4wnwo
Heathrow airport closure: What we know so far,https://www.bbc.com/news/articles/c1jp1dg7g45o
Lewis Hamilton hits out at 'yapping' critics after F1 sprint win in China,https://www.bbc.com/sport/formula1/articles/c78egyj4ng3o
Adolescence writer calls for 'radical action' not role models,https://www.bbc.com/news/articles/c0egyyq1z47o
Judge in deportations case says government lawyers 'disrespectful',https://www.bbc.com/news/articles/c99n84xdl4zo
UFC London: Emotional McCann announces retirement after loss,https://www.bbc.comhttps://www.bbc.com/sport/mixed-martial-arts/live/c74ek3wdzyqt
Scotland triumph in another thriller against Wales,https://www.bbc.com/sport/rugby-union/articles/c5yx4n0rle2o
Hamilton hits out at 'yapping' critics after China sprint win,https://www.bbc.com/sport/formula1/articles/c78egyj4ng3o
McCann retires after first-round defeat by Thainara,https://www.bbc.com/sport/mixed-martial-arts/articles/cn89e7yzg49o
UFC London: Emotional McCann announces retirement after loss,https://www.bbc.comhttps://www.bbc.com/sport/mixed-martial-arts/live/c74ek3wdzyqt
Draper shocked by Mensik in Miami Open second round,https://www.bbc.com/sport/tennis/articles/c1lp13d2gnno
Kohli and Salt lead RCB to victory in IPL opener,https://www.bbc.com/sport/cricket/articles/c0mw7ey2d3ko
Scotland triumph in another thriller against Wales,https://www.bbc.com/sport/rugby-union/articles/c5yx4n0rle2o
