title,link,source,author,date,text,classification
Marine Le Pen tells Paris rally her conviction is a 'witch hunt',https://www.bbc.com/news/articles/c8dg90l7ymlo,BBC,Jack Burgess,2025-04-06T16:45:18.616Z,"France's far-right National Rally (RN) leader Marine Le Pen has called a court ruling banning her from running for office for five years a ""witch hunt"".

""I won't give up,"" she told thousands of flag-waving supporters in Place Vauban, close to the Eiffel Tower in Paris on Sunday.

She was on Monday found guilty of helping to embezzle €2.9m (£2.5m) of EU funds between 2004 and 2016 for use by her party. Le Pen has appealed.

At the rally on Sunday she claimed the ruling was a ""political decision"", adding: ""We are not asking to be above the law, but to not be below the law.""

Bardella, the president of the RN party, told the rally on Sunday that the court ruling was ""a direct attack on democracy and a wound to millions of patriotic French people"".

He said he did not want to ""discredit all judges"" but claimed that the judgement against Le Pen was aimed at ""eliminating her from the presidential race"" in 2027.

In reply on Sunday Gabriel Attal, the head of French President Emmanuel Macron's centrist Renaissance party, responded by saying ""you steal, you pay"".

Attal also denounced ""unprecedented interference"" in France's affairs, pointing to support for Le Pen from several right-wing leaders, including Italian Prime Minister Giorgia Meloni and Hungary's PM Viktor Orban.

US President Donald Trump called her conviction a ""very big deal"".

A poll by BFMTV after Monday's ruling showed that many people in France believe that justice was service in the Le Pen case without bias - 57% according to the poll.

The Paris Court of Appeal said on Tuesday it should be able to provide a decision on the case by the summer of 2026 - several months before the 2027 presidential election.

Le Pen was gearing up to run for the presidency for a fourth time and had a good chance of winning.

On top of the ban on running for public office, Le Pen was also handed a €100,000 (£82,635) fine and four-year prison sentence, of which two years will be suspended.

This will not apply until the appeals process is exhausted, which could take several years.

RN spokesperson Laurent Jacobelli said that although the party would fight to have Le Pen as candidate, its 29-year-old president, Bardella, was ""the most naturally legitimate"" alternative.

Bardella has steered clear of being drawn into the discussion at this stage, refusing to say whether he was National Rally's ""plan B"" and saying after the ruling that the French should be ""outraged"" by the sentence.

However, a poll published a day before Le Pen was sentenced showed that around 60% of RN voters would back Bardella over Le Pen at the presidential election if he were to run.

France's President Macron is not entitled to stand for another term at the next presidential election.

",1
A Minecraft Movie storms box office despite lukewarm reviews,https://www.bbc.com/news/articles/cwy018lm793o,BBC,Noor Nanji,2025-04-06T17:24:42.195Z,"A Minecraft Movie has proven to be a box office success, bringing in an estimated $300m (£233m) globally during its opening weekend.

The film, based on the wildly popular video game, was heavily delayed but finally hit the big screen on Friday.

It boasts a star-studded cast including Jason Momoa, Jack Black and Jennifer Coolidge.

The estimates place the film's earnings well above its reported production budget of $150m.

Around half of the film's global takings came from North America, according to EntTelligence.

The box office numbers come despite reviews for the film being mostly underwhelming.

The Telegraphawarded it two stars, saying the charm of the video game was “nowhere to be found”, while the Guardiangave it just one star, saying it has “a cobbled-together feel”.

It does not appear to have stopped families showing up in force to see it.

""It has definitely overperformed all industry projections,"" said Steve Buck, chief strategy officer at EntTelligence, which said the film had enjoyed a late ticket surge.

He said the film ""hit with all audiences"", with around a quarter of those going to see it being under the age of 13, and more than half being male.

""When dads like a family film, that's a good thing,"" he told BBC News.

""It's the largest domestic opening of 2025, and the largest for Warner Bros since 2023,"" he added.

Minecraft is one of the world's best selling video games (more than 300 million copies and counting,according to Statista).

The film tells the story of four misfits who are suddenly pulled through a mysterious portal into the Overworld – the place where all players start in Minecraft.

There has been a long history of game-to-film flops. But others, such as Sonic and The Super Mario Bros Movie, were massive hits.

In press notes circulated ahead of the film's release, Black, 55, acknowledged there was a lot of pressure to deliver for fans of the blocky world.

""This game has been loved by millions and millions all over the world for years now, and I think this movie is a big deal for a lot of people, because now it's generational,"" he said.

",1
Moment parachutist left dangling on stadium roof,https://www.bbc.com/news/videos/czjn3wyjvvko,BBC,,2025-04-06T17:22:32.565Z,,1
Why men in England are more likely to die prematurely than women,https://www.bbc.com/news/articles/clywrl5460jo,BBC,Nick Triggle,2025-04-06T00:40:30.847Z,"This month the government in England will launch a consultation for its men's health strategy. The move is long overdue, experts say, with men much more likely to die prematurely than women. But why are they in such poor health – and what can be done about it?

Andrew Harrison was running a men's health clinic from a youth centre in Bradford when he heard a knock. He turned to the door, but no-one was there. Then he heard his name being called. He looked around to see a young man at the window asking for condoms.

""I was on the first floor,"" he says, recounting the story from a few years ago. ""The lad had shimmied up a drainpipe on the outside of the building because he didn't want to go through the reception and ask.""

The anecdote, in many ways, encapsulates the challenges over men's health – a combination of risk-taking behaviour and a lack of confidence and skills to engage with health services.



In the UK men are more likely to smoke, drink alcohol, use drugs and have high cholesterol and blood pressure.

These are major contributors to the fact men have a lower life expectancy than women - by four years - and arenearly 60% more likely to die prematurely before the age of 75with heart disease, lung cancer, liver disease and in accidents.

Prof Alan White, who co-founded the Men's Health Forum charity and set up a dedicated men's health centre at Leeds Beckett University, says the issue needs to be taken more seriously.

He cites the pandemic as an example, pointing out that 19,000 more men than women died from Covid. ""Where was the outrage? Where was the attention?""

He says it is too easy to blame men's poor health on their lifestyles, arguing ""it's much more complex than that.""

He says there are biological reasons – the male immune system is less able to fight off infection. But, as the story of the young man seeking condoms above demonstrates, they can also lack the skills to access health services.

Prof White says: ""Men are less health-literate, that is to say they don't develop the skills to talk about their health and recognise and act on the signs. Men's health is very static from their teenage years right through into their 40s generally – many go years without seeing a health professional.

""It is different for women. Getting contraception, having cervical screening and then childbirth means many women have regular contact with health services in a way men do not.""

Machismo is also a factor, says Mark Brooks, the policy adviser for the All-Party Parliamentary Group on Men's and Boy's Issues, which has played a key role in influencing the government to draw up a men's health strategy.

""In society we have different expectations in regards to men. They are expected to man up and get on with things, to be strong and resilient.""

But he says when it comes to men's health it is important to pay particular attention to the impact of deprivation. Life expectancy in the poorest 10% of areas is 10 years less than in the wealthiest – a larger gap than is seen for women – and in the most deprived areas a man is 3.5 times more likely to die before the age of 75.

""You cannot ignore the stark differences when it comes to left-behind communities and those working in blue-collar jobs like construction and manufacturing,"" he says. ""The way health services are designed isn't working for men.""

NHS health checks, which are offered every five years to those aged 40 to 74, are considered a crucial intervention when it comes to many of the diseases which are claiming the lives of men early. But fewer than four in 10 men take up the offer.

""Someone working in construction or on an industrial estate will find it very difficult to take time off whether that's for a health check or to go and see their GP.""

Mr Brooks says he would like to see employees given a right to two hours' paid time off to go for health checks as well as seeing them delivered in places where blue-collar workers are employed, such as industrial estates.

But he says this is also an issue about employment - with some men in these roles scared to face up to health problems that develop in their 40s and 50s - ignoring early warning signs or hiding illnesses from bosses altogether because of what it may mean for their work.

He adds that job worries and financial concerns, along with relationship problems,  are a big driver in the high suicide rates seen among men. Three-quarters of people who take their own lives are men.

Despite this, just a third of people sent for talking therapies are men, which may suggest that services are not doing enough to consider men's needs.

""How services are set up to recognise signs of depression and anxiety is not how men express them – they are more likely to display signs of anger, abuse alcohol or become withdrawn and push people away,"" says Prof White.

Ethnic differences are also important to recognise, he says. For example, black men in England are twice as likely to be diagnosed with prostate cancer, while men from Indian or Bangladeshi backgrounds are at particularly high risk of diabetes.

But none of this means men are not interested in their own health, says Prof Paul Galdas, a men's health expert at York University. ""Men will open up and want to be engaged, but to do that you have to base it around actions and activities.""

He has helped develop a six-week mental fitness programme in partnership with the Movember men's health movement that has been trialled on NHS front-line workers following Covid. Now it is being used by Leeds United football club for its youth players.

Men are provided with support to understand how behaviour affects moods, they are encouraged to track their habits and set goals for healthy activities.

""It can be about going for a walk, seeing friends, playing golf and developing problem-solving skills to protect mental health. Good mental health leads to good physical health.""

Similar activity-based initiatives can be found in a number of local areas where charities, councils and local men's groups have worked together to set up schemes.

The Men's Sheds movement is perhaps the most well-known where men are encouraged to come together and bond and support each other while doing practical projects.

Prof White says now is the time to build on these foundations – something a national men's health strategy is vital for. He says it will help ""shine a spotlight"" on the issue in a similar way to the women's health strategy did back in 2022 – that led to the creation of a network of women's health hubs and women's health champions at the heart of government.

But he also wants it to act as a ""wake-up call"" for men themselves. He says there are some simple steps every man should consider.

""Look at your waist size – if you are carrying weight, if your tummy is too big try to do something. Get moving, get out and about and talk to people.

""Take every opportunity to get a health check or screened. And, if you notice changes to body or the way you are managing problems, seek help.""

",1
Marine Le Pen tells Paris rally her conviction is a 'witch hunt',https://www.bbc.com/news/articles/c8dg90l7ymlo,BBC,Jack Burgess,2025-04-06T16:45:18.616Z,"France's far-right National Rally (RN) leader Marine Le Pen has called a court ruling banning her from running for office for five years a ""witch hunt"".

""I won't give up,"" she told thousands of flag-waving supporters in Place Vauban, close to the Eiffel Tower in Paris on Sunday.

She was on Monday found guilty of helping to embezzle €2.9m (£2.5m) of EU funds between 2004 and 2016 for use by her party. Le Pen has appealed.

At the rally on Sunday she claimed the ruling was a ""political decision"", adding: ""We are not asking to be above the law, but to not be below the law.""

Bardella, the president of the RN party, told the rally on Sunday that the court ruling was ""a direct attack on democracy and a wound to millions of patriotic French people"".

He said he did not want to ""discredit all judges"" but claimed that the judgement against Le Pen was aimed at ""eliminating her from the presidential race"" in 2027.

In reply on Sunday Gabriel Attal, the head of French President Emmanuel Macron's centrist Renaissance party, responded by saying ""you steal, you pay"".

Attal also denounced ""unprecedented interference"" in France's affairs, pointing to support for Le Pen from several right-wing leaders, including Italian Prime Minister Giorgia Meloni and Hungary's PM Viktor Orban.

US President Donald Trump called her conviction a ""very big deal"".

A poll by BFMTV after Monday's ruling showed that many people in France believe that justice was service in the Le Pen case without bias - 57% according to the poll.

The Paris Court of Appeal said on Tuesday it should be able to provide a decision on the case by the summer of 2026 - several months before the 2027 presidential election.

Le Pen was gearing up to run for the presidency for a fourth time and had a good chance of winning.

On top of the ban on running for public office, Le Pen was also handed a €100,000 (£82,635) fine and four-year prison sentence, of which two years will be suspended.

This will not apply until the appeals process is exhausted, which could take several years.

RN spokesperson Laurent Jacobelli said that although the party would fight to have Le Pen as candidate, its 29-year-old president, Bardella, was ""the most naturally legitimate"" alternative.

Bardella has steered clear of being drawn into the discussion at this stage, refusing to say whether he was National Rally's ""plan B"" and saying after the ruling that the French should be ""outraged"" by the sentence.

However, a poll published a day before Le Pen was sentenced showed that around 60% of RN voters would back Bardella over Le Pen at the presidential election if he were to run.

France's President Macron is not entitled to stand for another term at the next presidential election.

",1
Israel changes account of Gaza medic killings after video showed deadly attack,https://www.bbc.com/news/articles/cy0xp969n69o,BBC,Dan Johnson,2025-04-06T10:33:25.755Z,"Israel's army has admitted its soldiers made mistakes overthe killing of 15 emergency workersin southern Gaza on 23 March.

The convoy of Palestinian Red Crescent Society (PRCS) ambulances, a UN car and a fire truck from Gaza's Civil Defence came under fire near Rafah.

Israel originally claimed troops opened fire because the convoy approached ""suspiciously"" in darkness without headlights or flashing lights. It said movement of the vehicles had not been previously co-ordinated or agreed with the army.

Mobile phone footage, filmed by one of the paramedics who was killed, showed the vehicles did have lights on as they answered a call to help wounded people.

The Israel Defense Forces (IDF) insists at least six of the medics were linked to Hamas - but has so far provided no evidence. It admits they were unarmed when the soldiers opened fire.

The mobile video, originally shared by the New York Times, shows the vehicles pulling up on the road when, without warning, shooting begins just before dawn.

The footage continues for more than five minutes, with the paramedic, named as Refat Radwan, heard saying his last prayers before the voices of Israeli soldiers are heard approaching the vehicles.

An IDF official briefed journalists on Saturday evening, saying the soldiers had earlier fired on a car containing three Hamas members.

When the ambulances responded and approached the area, aerial surveillance monitors informed the soldiers on the ground of the convoy ""advancing suspiciously"".

When the ambulances stopped beside the Hamas car, the soldiers assumed they were under threat and opened fire, despite no evidence any of the emergency team was armed.

Israel has admitted its earlier account claiming the vehicles approached without lights was inaccurate, attributing the report to the troops involved.

The video footage shows the vehicles were clearly marked and the paramedics wore reflective hi-vis uniform.

The soldiers buried the bodies of the 15 dead workers in sand to protect them from wild animals, the official said, claiming the vehicles were moved and buried the following day to clear the road.

They were not uncovered until a week after the incident because international agencies, including the UN, could not organise safe passage to the area or locate the spot.

When an aid team found the bodies they also discovered Refat Radwan's mobile phone containing footage of the incident.

The Israeli military official denied any of the medics were handcuffed before they died and said they were not executed at close range, as some reports had suggested.

Earlier this week,a surviving paramedic told the BBC the ambulances had their lights onand denied his colleagues were linked with any militant group.

The IDF promised a ""thorough examination"" of the incident, saying it would ""understand the sequence of events and the handling of the situation"".

The Red Crescent and many other international organisations are calling for an independent investigation.

Israel renewed its aerial bombardment and ground offensive in Gaza on 18 March after the first phase of a ceasefire deal came to an end and negotiations on a second phase stalled.

More than 1,200 people have since been killed in Gaza since then, according to the territory's Hamas-run health ministry.

The Israeli military launched a campaign to destroy Hamas in response to an unprecedented cross-border attack on 7 October 2023, in which about 1,200 people were killed and 251 were taken hostage.

More than 50,600 people have been killed in Gaza since then, according to the territory's health ministry.

",1
Two UK MPs 'astounded' after being denied entry to Israel,https://www.bbc.com/news/articles/cn9133z2v30o,BBC,Aleks Phillips & Ruth Comerford,2025-04-06T11:04:41.265Z,"Two Labour MPs say they are ""astounded"" to have been denied entry to Israel while on a trip to visit the occupied West Bank.

Abtisam Mohamed and Yuan Yang said it was ""vital"" parliamentarians were able to witness the situation in the occupied Palestinian territory first-hand.

They were refused entry because they intended to ""spread hate speech"" against Israel, the nation's population and immigration authority said.

Foreign Secretary David Lammy criticised Israeli authorities, describing the move as ""unacceptable, counterproductive, and deeply concerning"".

ButConservative leader Kemi Badenoch said Israel had a right to ""control its borders"", adding it was ""significant"" there were Labour MPs other countries did not want to let in.

Yang, the MP for Earley and Woodley, and Mohamed, the MP for Sheffield Central, flew to Israel from London Luton Airport with two aides on Saturday afternoon.

The Israeli immigration authority said Interior Minister Moshe Arbel denied entry to all four passengers after they were questioned. It accused them of travelling to ""document the security forces"".

The Israeli embassy in London said in a statement on Saturday that the country ""will not allow the entry of individuals or entities that act against the state and its citizens"".

It said Mohamed and Yang had ""accused Israel of false claims"" and were ""actively involved in promoting sanctions against Israeli ministers"".

It also said they had supported campaigns aimed at boycotting the country ""at a time when Israel is at war and under attack on seven fronts"".

The UK Foreign Office said the group was part of a parliamentary delegation. However, Israel's immigration authority said the delegation had not been acknowledged by an Israeli official.

The Israeli embassy said the MPs ""were offered hotel accommodation, which they declined"" and the cost of their return flight to the UK was covered.

Israel's Interior Ministry said the MPs left the country early on Sunday.

Mohamed and Yang said their trip had been organised with UK charities that had ""over a decade of experience in taking parliamentary delegations"".

""We are two, out of scores of MPs, who have spoken out in Parliament in recent months on the Israel-Palestine conflict and the importance of complying with international humanitarian law,"" the MPs said in a joint statement.

""Parliamentarians should feel free to speak truthful in the House of Commons, without fear of being targeted.""

Lammy said the Foreign Office had been in touch with both MPs to offer support, adding: ""I have made clear to my counterparts in the Israeli government that this is no way to treat British parliamentarians.""

The Council for Arab-British Understanding and Medical Aid for Palestinians - the latter of which is a registered UK charity - said in a joint statement that they had organised the trip.

""This visit was part of that long-standing programme,"" they said.

""When questioned, the group was clear, open and transparent about the aims and objectives of the visit, which included visiting a range of projects run by humanitarian and development organisations operating in the West Bank.

""The group had informed the UK consul general in Jerusalem of their visit and was planning to meet with them as part of the itinerary.""

Both Yang and Mohamed - who were first elected in 2024 - have made several interventions on the Israel-Hamas conflict in Parliament.

In February, Mohamed initiated a cross-party letter, signed by 61 MPs and lords, calling for a ban on goods from Israeli settlements on Palestinian territory, citing an opinion from the International Court of Justice (ICJ).

She has also criticised Israel for withholding humanitarian aid from Gaza, telling the House of Commons in October that international law ""prohibits the starvation of civilians as a method of warfare"", and has mentioned humanitarian organisations' claims of ""ethnic cleansing"" in Gaza.

In January, Yang spoke in favour of bringing sanctions against Israeli ministers Itamar Ben-Gvir and Bezalel Smotrich, after they suggested building Israeli settlements in northern Gaza to encourage Palestinians to leave.

She has also highlighted the dangerous conditions journalists and medical professionals face while in the Palestinian territory.

When asked about Israel's decision, Conservative leader Kemi Badenoch told the BBC's Sunday with Laura Kuenssberg that countries ""should be able to control their borders"".

""What I think is shocking is that we have MPs in Labour [who] other countries won't allow through,"" Badenoch said. ""I think that's very significant.""



Her comments were rebuffed by Emily Thornberry, the Labour chair of the foreign affairs select committee, who described Yang and Mohamed as ""highly respected parliamentarians"" and ""potential leaders"".

""Israel is badly advised to try and alienate them, to humiliate them and to treat them in this way,"" she told the programme.

""I think that it's an insult to Britain and I think it's an insult to Parliament.""

Sir Ed Davey accused Badenoch of ""yet another complete shocker"".

The Liberal Democrat leader said she ""has once again shown unbelievably poor judgement by failing to back two British MPs denied entry to Israel"".

Lammy called Badenoch's comments ""disgraceful"", asking her: ""Do you say the same about Tory MPs banned from China?""

During the war in Gaza, there have been protests, violent incidents and raids by Israeli forces in the West Bank. Hundreds of deaths have been reported there.

Israeli troops have been engaged in an extended operation in the occupied Palestinian territory, where two Palestinians were killed on Friday.

The current war began on 7 October 2023, when Hamas fighters launched a surprise attack on Israel, killing around 1,200 people and taking 251 hostages back to Gaza.

Since then, Gaza's Hamas-run health ministry says more than 50,000 people have been killed. It said 1,309 people have died since a ceasefire ended on 18 March.

Lammy said: ""The UK government's focus remains securing a return to the ceasefire and negotiations to stop the bloodshed, free the hostages and end the conflict in Gaza.""

",1
Second child dies of measles as Texas outbreak worsens,https://www.bbc.com/news/articles/ckg2xyyj9w5o,BBC,Madeline Halpert,2025-04-06T16:21:53.109Z,"A second child has died from measles as an outbreak of the the highly contagious virus continues to grow in western Texas.

The school-aged child was not vaccinated, had no underlying health conditions and was in hospital suffering complications from measles, Aaron Davis, the vice president of UMC Health System, told the BBC.

Health Secretary Robert F Kennedy Jr, who has faced a backlash over his handling of the outbreak, will reportedly head to Texas this week in the wake of the death.

The state reported more than 480 cases of measles this year as of Friday, a jump from 420 earlier in the week. The outbreak has extended to neighbouring states.

""This unfortunate event underscores the importance of vaccination,"" Mr Davis said in a statement. ""Measles is a highly contagious disease that can lead to serious complications, particularly for those who are unvaccinated.""

The child - an eight-year-old girl - died early on Thursday of ""measles pulmonary failure"", according to theNew York Times, which was the first to report after obtaining hospital records.

The BBC has contacted the state health department and the US Department of Health and Human Services for confirmation. Both agencies did not list the death in their case counts on Friday.

In February, an unvaccinated six-year-old girl in the local Mennonite community was the first child to die of measles in the US in a decade. In March, an unvaccinated man died in New Mexico after contracting the virus, though his cause of death is still under investigation.

The US has recorded more than 600 cases of measles this year, many related to the outbreak that began in western Texas. Cases in New Mexico, Oklahoma and Kansas are likely linked to the original outbreak, public health experts say.

Nearly all the cases are in unvaccinated people.

The virus - which can cause a fever, red rash, cough and other symptoms - is associated with a host of complications, including pneumonia, brain swelling and death.

The US declared measles eliminated from the country in 2000. But outbreaks have grown since then with a rise in anti-vaccine sentiment.

Two shots of the immunization - proven safe - are 97% effective at preventing the virus and reduce severe infections. To achieve herd immunity - when enough of a group is immune to a disease, limiting its spread and protecting the unvaccinated - around 95% of the population must have the shots.

The outbreak originated in a religious community that strongly rejects vaccines. Local health officials in western Texas have told the BBC they have seen limited progress in attempts to improve vaccination rates.

Meanwhile, Kennedy's response to the worsening outbreaks has been muted.

At first, as cases began to spiral, he described the situation as ""not unusual"". He changed his tune after the first child measles death, but stopped short of recommending that parents vaccinate their children. He instead encouraged them to talk to their doctors about the shot, language public health experts have criticized.

The vaccine sceptic has also at times promoted Vitamin A as a treatment for measles, which doctors say should only be provided in certain cases under the guidance of a physician.

In Lubbock, Covenant Children's Hospital has treated several children for Vitamin A toxicity after they were sent to the hospital for measles complications.

",1
A Minecraft Movie storms box office despite lukewarm reviews,https://www.bbc.com/news/articles/cwy018lm793o,BBC,Noor Nanji,2025-04-06T17:24:42.195Z,"A Minecraft Movie has proven to be a box office success, bringing in an estimated $300m (£233m) globally during its opening weekend.

The film, based on the wildly popular video game, was heavily delayed but finally hit the big screen on Friday.

It boasts a star-studded cast including Jason Momoa, Jack Black and Jennifer Coolidge.

The estimates place the film's earnings well above its reported production budget of $150m.

Around half of the film's global takings came from North America, according to EntTelligence.

The box office numbers come despite reviews for the film being mostly underwhelming.

The Telegraphawarded it two stars, saying the charm of the video game was “nowhere to be found”, while the Guardiangave it just one star, saying it has “a cobbled-together feel”.

It does not appear to have stopped families showing up in force to see it.

""It has definitely overperformed all industry projections,"" said Steve Buck, chief strategy officer at EntTelligence, which said the film had enjoyed a late ticket surge.

He said the film ""hit with all audiences"", with around a quarter of those going to see it being under the age of 13, and more than half being male.

""When dads like a family film, that's a good thing,"" he told BBC News.

""It's the largest domestic opening of 2025, and the largest for Warner Bros since 2023,"" he added.

Minecraft is one of the world's best selling video games (more than 300 million copies and counting,according to Statista).

The film tells the story of four misfits who are suddenly pulled through a mysterious portal into the Overworld – the place where all players start in Minecraft.

There has been a long history of game-to-film flops. But others, such as Sonic and The Super Mario Bros Movie, were massive hits.

In press notes circulated ahead of the film's release, Black, 55, acknowledged there was a lot of pressure to deliver for fans of the blocky world.

""This game has been loved by millions and millions all over the world for years now, and I think this movie is a big deal for a lot of people, because now it's generational,"" he said.

",1
Anti-Trump protests held in cities across the US,https://www.bbc.com/news/articles/cz79ewg193ro,BBC,"Robin Levinson King in Boston, Jenna Moon in Washington DC & Bernd Debusmann Jr in Florida",2025-04-05T22:31:10.981Z,"Crowds of protesters gathered in cities across the US on Saturday to denounce President Trump, in the largest nationwide show of opposition since the president took office in January.

The ""Hands Off"" protest planners aimed to hold rallies in 1,200 locations, including in all 50 US states. Hundreds of thousands of people turned out in Boston, Chicago, Los Angeles, New York and Washington DC, among other cities.

Protesters cited grievances with Trump's agenda ranging from social to economic issues.

Coming days after Trump's announcement that the US would impose import tariffs on most countries around the world, gatherings were also held outside the US, including in London, Paris and Berlin.

In Boston, some protesters said they were motivated by immigration raids on US university students that have led to arrests and deportation proceedings.

Law student Katie Smith told BBC News that she was motivated by Turkish international studentRumeysa Ozturk, whose arrest near Boston-area Tufts University by masked US agents was caught on camera last month.

""You can stand up today or you can be taken later,"" she said, adding: ""I'm not usually a protest girlie.""

In London, protesters held signs reading, ""WTAF America?"", ""Stop hurting people"" and ""He's an idiot"".

They chanted ""hands off Canada"", ""hands off Greenland"" and ""hands off Ukraine"", referencing Trump's changes to US foreign policy. Trump has repeatedly expressed interest inannexingCanadaandGreenland. He also got intoa public disputewith Ukrainian President Volodymyr Zelensky and has struggled tonegotiate a peace dealbetween Ukraine and Russia.

In Washington DC, thousands of protesters gathered to watch speeches by Democratic lawmakers. Many remarks focused on the role played in Trump's administration by wealthy donors - most notably Elon Musk, who has served as an advisor to the president and spearheaded an effort to dramatically cut spending and the federal workforce.

Florida Congressman Maxwell Frost denounced the ""billionaire takeover of our government"".

""When you steal from the people, expect the people to rise up. At the ballot box and in the streets,"" he shouted.

The protests come after a bruising week for the president and his allies. Republicans won a closely watched special Florida congressional election on Tuesday, but withslimmer margins than they had hoped. Wisconsin voters elected a Democratic judge to serve on the state supreme court, roundly rejecting a Musk-backed Republican candidate byalmost 10 percentage points.

In both states, Democrats sought to tap into voter anger towards the Trump administration's policies and Elon Musk's influence.

Some polls show approval ratings for President Trump to be slipping slightly.

One Reuters/Ipsos poll released earlier this week found that his approval rating had dropped to 43%, its lowest point since Trump began his second term in January. When he was inaugurated on 20 January, his approval rating was 47%.

The same poll found that 37% of Americans approve of his handling of the economy, while 30% approve of his strategy to address the cost of living in the US.

Another recent poll, from Harvard Caps/Harris, found that 49% of registered voters approve of Trump's performance in office, down from 52% last month. The same poll, however, found that 54% of voters believe he is doing a better job than Joe Biden did as president.

One protester in Washington named Theresa told the BBC that she was there because ""we're losing our democratic rights"".

""I'm very concerned about the cuts they're making to the federal government,"" she said, adding that she is also concerned about retirement and education benefits.

Asked if she thought Trump was receiving the protesters' message, she said: ""Well, let's see. [Trump has] been golfing just about every day.""

Trump held no public events on Saturday, and spent the day golfing at a resort he owns in Florida. He was scheduled to play golf again on Sunday.

The White House released a statement defending Trump's positions, saying he would continue to protect programs such as Medicare and pointing to Democrats as the threat.

""President Trump's position is clear: he will always protect Social Security, Medicare, and Medicaid for eligible beneficiaries. Meanwhile, the Democrats' stance is giving Social Security, Medicaid, and Medicare benefits to illegal aliens, which will bankrupt these programs and crush American seniors.""

One of Trump's top immigration advisors, Tom Homan, told Fox News on Saturday that protesters held a rally outside of his New York home, but that he was in Washington at the time.

""They can protest a vacant house all they want,"" Homan said, adding that their presence ""tied up"" law enforcement and prevented officials from seeing to more important tasks.

""Protests and rallies, they don't mean anything,"" Homan continued.

""So go ahead and exercise your first amendment [free speech] rights. It's not going to change the facts of the case.""

",1
