title,link,source,journalist,date,content,classification
DOGE By The Numbers,https://theonion.com/doge-by-the-numbers/,The Onion,,2025-02-20T10:30:52-06:00,"Elon Musk, the leader of DOGE, claims the organization’s sweeping cuts have already saved the government $55 billion.The Onionexamines the key facts and figures behind the Department Of Government Efficiency.

20,000:Free lunch sandwiches confiscated from schoolchildren’s mouths mid-bite

17:Cancer research breakthroughs successfully averted

45:Minutes per meeting spent looking at videos on Elon Musk’s phone

83:FAA employees left between you and a Boeing 747 crashing into your house

10%:Group discount on department fake ID order

13,000:Federal employees laid off via meme

500:Nut taps distributed

253:Number of scorned public servants currently writing manifestos

8:Times Elon Musk has tried to explain why the agency name is funny to Trump

",0
Dalai Lama Revises Claim Life Only Suffering When Not Listening To Golden-Era Supertramp,https://theonion.com/dalai-lama-revises-claim-life-only-suffering-when-not-listening-to-golden-era-supertramp/,The Onion,,2025-02-17T08:00:00-06:00,"DHARAMSHALA, INDIA—The Dalai Lama announced in a press conference Monday that he has revised his position that suffering is an inevitable fact of life and that he now believes life is only suffering when one is not listening to golden-era Supertramp. “I was recently lent a remastered version ofBreakfast In America, and it went down so damn smooth that it completely shifted my stance on pain and the human condition,” said His Holiness, admitting that the proclamation upends the conceptual grounding of Buddhism’s Four Noble Truths. “Humanity can free itself from pain by throwing on “Goodbye Stranger” and cranking that shit up until you feel like you’re floating. Also, attachment to desire is totally okay if what you desire is the intricate musical arrangements and artful melody of Britain’s best prog rock band. The real path to nirvana is through the deep cuts on disc two ofRetrospectacle: A Supertramp Anthology.” The Dalai Lama went on to condemn the Rock and Roll Hall of Fame for its hateful anti-Supertramp stance and encouraged his followers to sign a petition supporting the band’s induction.

",0
Joann Fabrics Announces Plans To Make Mishmash Store Out Of Shuttered Locations’ Scraps,https://theonion.com/joann-fabrics-announces-plans-to-make-mishmash-store-out-of-shuttered-locations-scraps/,The Onion,,2025-02-14T14:18:04-06:00,,0
Tips For Embracing Single Life,https://theonion.com/tips-for-embracing-single-life/,The Onion,,2025-02-14T12:45:04-06:00,"Despite stereotypes that unpartnered people are lonely or unhappy, being single doesn’t have to be a burden.The Onionshares tips for embracing single life.

Take yourself on a date! There’s no reason you can’t have fun being visibly, utterly alone in public.

Delight in the bacchanal of carnal pleasures that is the Omaha hookup scene.

Pretend you’ve been stood up at restaurants to get loads of free bread.

Realize that your ex was actually holding you back from things you really value, like not cleaning, not cooking, and not bathing.

Develop a non-romantic identity like “dog mom” or “incoherent wino.”

Most suicide hotline operators will listen to you talk about your day if you pepper in some threats.

Explore new interests to immediately abandon at the first sign of a relationship.

Use the solitude to reflect on you and just how you managed to fuck up this badly.

Tell everyone your family was brutally murdered, so you seem less pathetic.

",0
New Evidence Suggests Humans Developed Written Language To Avoid Breaking Up In Person,https://theonion.com/new-evidence-suggests-humans-developed-written-language-to-avoid-breaking-up-in-person/,The Onion,,2025-02-14T11:21:13-06:00,"CHICAGO—Noting that early humans’ aversion to confrontation played a critical role in their evolution, a new study published Friday in theAmerican Journal Of Archaeologyconcluded that written language was first developed to avoid breaking up in person. “According to our findings, early Mesopotamians created the first cuneiform tablets in 3200 BCE because they couldn’t bear the idea of looking their partner in the eye and ending things face-to-face,” said the study’s author, Professor Jason Greene, who added that once humans learned how effective a breakup note transcribed on papyrus, clay, or animal skin could be, they began developing a variety of symbols to quickly and effectively call a relationship off. “Some of the earliest pictographs, like a broken heart, a withered rose, or crossed out stick figures standing side by side, were seemingly quite effective for avoiding an in-person argument. But based on our evidence, our ancestors eventually developed a phonetic alphabet to convey more complex ideas, like that it might be best for them to open their relationship, or to take a short break and try seeing other people.” Greene added that early humans also developed hunting spears as a way to avoid going through the trouble of divorce.

",0
STIs: Myth Vs. Fact,https://theonion.com/stis-myth-vs-fact/,The Onion,,2025-02-13T13:20:07-06:00,"Sexually transmitted infections, also known as STIs or STDs, affect millions of Americans every year.The Oniondebunks the many misconceptions people have about STIs.

MYTH: STI tests are inconvenient.

FACT: The clinic will mail your penis back within three to five business days.

MYTH: Gonorrhea and chlamydia cancel each other out.

FACT: Gonorrhea beats syphilis, syphilis beats HPV, and HPV beats gonorrhea.

MYTH: STIs can’t be transmitted through oral sex.

FACT: Nice try.

MYTH: It’s risky to have multiple sexual partners without getting tested.

FACT: The real danger is falling in love.

MYTH: Having sex in hot tubs kills STIs.

FACT: We get it, you have a hot tub.

MYTH: You should inform any sexual partners if you test positive for an STI.

FACT: Don’t just talk about yourself—ask them how they’re doing, too.

MYTH: Once you get an STI, you’re stuck with it forever.

FACT: Eventually you will die.

",0
Elon Musk Humps Nuclear Football,https://theonion.com/elon-musk-humps-nuclear-football/,The Onion,,2025-02-13T08:00:00-06:00,,0
Musk Signals Willingness To Bid More Than $97 Billion To Acquire Respect,https://theonion.com/musk-signals-willingness-to-bid-more-than-97-billion-to-acquire-respect/,The Onion,,2025-02-12T12:39:48-06:00,"WASHINGTON—Stressing that he was open to going far higher to close the deal, Tesla CEO Elon Musk announced Wednesday that he had made an unsolicited $97.4 billion offer to acquire respect. “This is a very important opportunity for me, and as such I’m willing to put forward considerable capital towards procuring just a modicum of respect,” said the billionaire in a social media post, which went on to explain that he saw acquiring respect as just “one small step” toward the broader goal of being seen as a serious person. “As you’re aware, I was actually in a position of high esteem just a few years ago. That’s why I’m a perfect candidate to acquire respect now. Of course, this is just my opening offer. No price is too high to make this happen.” Musk added that he expected he might have to significantly raise his bid based on the realities of how detestable most people found him.

",0
Anti-Aging Millionaire Announces He Has Put In Purple Contact Lenses,https://theonion.com/anti-aging-millionaire-announces-he-has-put-in-purple-contact-lenses/,The Onion,,2025-02-12T09:44:40-06:00,"LOS ANGELES—Boasting that he had made the most dramatic change to his appearance yet, anti-aging millionaire Bryan Johnson revealed Wednesday that he had put in purple contact lenses. “Today, I stand before you a new, younger man who also has violet eyes,” said the 47-year-old business magnate, who added that on top of his intensive daily regimen of light therapy, blood transfusions, and 91 custom supplements, he and his team of longevity specialists had now covered his eyes with colored lenses he purchased online. “Although my natural blue eyes didn’t necessarily age me, my new, purple eyes give me an air of otherworldly mystery. And this is only the beginning. Soon, I’ll have some cat-eye contacts for both myself and my son to wear when he gives me his blood.” At press time, a shirtless Johnson could be heard screaming in pain as his bloodshot eyes rejected the contacts and immediately aged him 20 years.

",0
Poll Finds Majority Of Americans Would Support Wind Turbines If They Sliced Deli Meat As Well,https://theonion.com/poll-finds-majority-of-americans-would-support-wind-turbines-if-they-sliced-deli-meat-as-well/,The Onion,,2025-02-11T11:41:59-06:00,"WASHINGTON—In a major survey of public attitudes toward alternative energy as the climate crisis continues, a poll published Tuesday found that an overwhelming majority of U.S. residents would support wind turbines if they sliced deli meat as well. “Everyday Americans want to know how exactly wind power is going to serve our community, and many more of us would be on board if, in addition to converting the wind’s kinetic energy into electricity, those turbines also provided thinly sliced Cajun-style turkey breast,” said survey participant and Iowa resident Jeanine McFadden, who went on to explain that her community felt “left behind” by a lack of access to alternative meat-slicing sources. “Politicians talk a big talk about alternative energy, but if the people of this community could stand underneath the turbine blades for a little sample of honey ham, or if the base of the turbine had a built-in hot box full of grab-and-go rotisserie chickens, that’s what would make a real difference.” McFadden added that the community would also be open to exploring nuclear energy, provided the residual heat from reactors could be used to toast sub sandwiches.

",0
